nombre,poblacion,superficie,continente
Argentina,45376763,2780400,America
Brasil,212559417,8515767,America
Canada,38005238,9984670,America
España,47329981,505992,Europa
Francia,67391582,551695,Europa
Alemania,83155031,357022,Europa
China,1402112000,9596961,Asia
Japon,125836021,377975,Asia
India,1380004385,3287263,Asia
Egipto,102334404,1001450,Africa
Nigeria,206139589,923768,Africa
Sudafrica,59308690,1219090,Africa
Australia,25687041,7692024,Oceania
Nueva Zelanda,5084300,268021,Oceania
Italia,59554023,301340,Europa
Paraguay,10,5,America
